turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,move1,2,move1,2-6,1-6,3-6,3-5
3,1,0,0,move1,mobilize,move1,0,move1,4-0,4-1,-1,-1
4,0,0,0,move1,mobilize,move1,0,move1,3-5,2-5,-1,-1
5,1,0,0,capture,mobilize,move1,0,capture,3-0,4-0,-1,-1
6,0,0,0,capture,mobilize,capture,2,capture,4-6,3-6,-1,-1
7,1,0,0,capture,mobilize,capture,1,mobilize,4-0,3-0,4-1,5-1
8,0,0,0,capture,capture,capture,1,capture,1-6,1-5,3-6,3-5
9,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
11,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
12,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
13,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
14,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
15,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
17,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
18,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
19,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
20,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
21,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
22,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
23,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
24,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
25,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
26,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
27,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
28,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
29,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
30,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
31,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
32,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
33,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
34,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
35,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
36,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
37,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
38,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
39,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
40,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
41,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
42,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
43,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
44,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
45,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
46,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
47,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
48,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
49,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
50,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
