turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,1,0,move1,move1,mobilize,1,move1,2-1,2-2,3-0,3-1
4,0,1,0,move1,move1,mobilize,0,move1,1-4,1-3,-1,-1
5,1,2,0,capture,move1,mobilize,0,capture,3-1,2-1,-1,-1
6,0,2,3,capture,move1,mobilize,0,capture,2-3,2-2,-1,-1
7,1,5,3,mobilize,move1,mobilize,0,mobilize,2-1,2-3,2-0,-1
8,0,5,3,capture,move1,mobilize,0,capture,1-3,1-2,1-4,0-4
9,1,6,3,capture,swap,mobilize,1,swap,2-1,2-2,-1,-1
10,0,6,6,move1,swap,mobilize,0,move1,1-2,2-2,-1,-1
11,1,6,6,move1,swap,move1,2,move1,1-0,1-1,3-0,3-1
12,0,6,7,capture,swap,move1,0,capture,1-2,2-2,-1,-1
13,1,6,7,capture,swap,move1,2,move1,3-1,2-1,-1,-1
14,0,6,11,move2,swap,move1,0,move2,2-2,2-1,-1,-1
15,1,6,11,move2,swap,capture,2,capture,1-1,2-1,-1,-1
16,0,6,15,move2,swap,move2,2,move2,2-2,2-1,-1,-1
17,1,6,15,swap,swap,move2,0,swap,1-0,2-1,-1,-1
18,0,6,16,swap,swap,mobilize,2,mobilize,3-4,2-3,-1,-1
19,1,7,16,mobilize,swap,mobilize,0,mobilize,3-0,2-2,-1,-1
20,0,7,17,mobilize,move2,mobilize,1,move2,3-0,2-2,-1,-1
21,1,7,17,mobilize,move1,mobilize,1,move1,3-0,3-2,-1,-1
22,0,7,18,mobilize,move2,mobilize,1,move2,0-4,0-3,-1,-1
23,1,7,18,swap,move2,mobilize,0,swap,2-0,3-0,2-1,3-1
24,0,7,19,swap,move2,mobilize,1,move2,0-3,1-2,-1,-1
25,1,8,19,swap,move2,mobilize,0,swap,3-0,2-2,-1,-1
26,0,8,20,move1,move2,mobilize,0,move1,3-0,2-2,-1,-1
27,1,8,20,move1,swap,mobilize,1,swap,3-0,4-1,-1,-1
28,0,8,21,move1,move1,mobilize,1,move1,1-2,3-2,-1,-1
29,1,8,21,capture,move1,mobilize,0,capture,1-2,1-1,-1,-1
30,0,8,25,move2,move1,mobilize,0,move2,3-2,3-1,-1,-1
31,1,8,25,mobilize,move1,mobilize,0,mobilize,4-1,2-1,-1,-1
32,0,8,26,mobilize,capture,mobilize,1,capture,3-2,3-3,-1,-1
33,1,11,26,mobilize,mobilize,mobilize,1,mobilize,2-1,2-2,-1,-1
34,0,11,27,swap,mobilize,mobilize,0,swap,1-4,2-4,2-3,2-2
35,1,11,27,swap,move1,mobilize,1,move1,1-1,1-2,1-0,2-0
36,0,11,28,move1,move1,mobilize,0,move1,2-4,2-1,-1,-1
37,1,11,28,move1,move1,mobilize,2,mobilize,2-4,2-3,2-0,1-0
38,0,11,29,swap,move1,mobilize,0,swap,3-3,3-2,-1,-1
39,1,12,29,move1,move1,mobilize,0,move1,1-0,2-2,-1,-1
40,0,12,29,move2,move1,mobilize,0,move2,2-1,2-0,-1,-1
41,1,13,29,move1,move1,mobilize,0,move1,2-3,1-3,-1,-1
42,0,13,29,move2,move1,mobilize,0,move2,2-0,2-1,-1,-1
43,1,14,29,move1,move1,mobilize,0,move1,1-3,2-3,-1,-1
44,0,14,29,capture,move1,mobilize,0,capture,2-1,2-0,-1,-1
45,1,18,29,move2,move1,mobilize,0,move2,2-2,2-0,2-3,-1
46,0,18,29,capture,move1,mobilize,0,capture,1-4,1-3,-1,-1
47,1,22,29,move2,move1,mobilize,0,move2,1-2,1-3,-1,-1
48,0,22,29,swap,move1,mobilize,0,swap,1-4,1-3,-1,-1
49,1,22,29,mobilize,move1,mobilize,0,mobilize,2-2,1-3,-1,-1
50,0,22,30,mobilize,capture,mobilize,1,capture,1-0,2-0,-1,-1
51,1,25,30,mobilize,move1,mobilize,1,move1,1-2,2-2,-1,-1
52,0,25,31,swap,move1,mobilize,0,swap,1-4,2-4,3-2,2-2
53,1,26,31,move2,move1,mobilize,0,move2,1-2,2-2,-1,-1
54,0,26,31,move2,move1,mobilize,0,move2,2-4,1-4,-1,-1
55,1,27,31,capture,move1,mobilize,0,capture,2-3,3-2,-1,-1
56,0,27,34,swap,move1,mobilize,0,swap,1-4,1-3,-1,-1
57,1,28,34,move1,move1,mobilize,0,move1,1-0,1-2,-1,-1
58,0,28,34,mobilize,move1,mobilize,0,mobilize,2-0,2-1,-1,-1
59,1,29,34,capture,move1,mobilize,0,capture,3-2,3-1,1-2,1-1
60,0,29,37,move1,move1,mobilize,0,move1,1-0,1-1,-1,-1
61,1,30,37,swap,move1,mobilize,0,swap,3-1,3-0,-1,-1
62,0,30,38,move2,move1,mobilize,0,move2,1-4,2-2,-1,-1
63,1,30,38,move1,move1,mobilize,0,move1,1-4,1-2,-1,-1
64,0,30,39,mobilize,move1,mobilize,0,mobilize,1-0,1-1,-1,-1
65,1,30,39,mobilize,move2,mobilize,1,move2,2-0,1-0,-1,-1
66,0,30,40,mobilize,swap,mobilize,1,swap,2-1,3-2,-1,-1
