turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,1,0,move1,mobilize,mobilize,0,move1,3-4,4-4,-1,-1
3,1,2,0,move1,mobilize,mobilize,0,move1,3-0,4-0,-1,-1
4,0,2,0,move1,mobilize,move1,2,move1,1-4,1-3,2-4,3-4
5,1,3,0,move1,mobilize,capture,2,capture,4-0,4-1,-1,-1
6,0,3,0,capture,mobilize,capture,0,capture,1-3,0-3,-1,-1
7,1,4,0,capture,mobilize,capture,1,mobilize,1-0,1-1,4-1,4-2
8,0,4,0,capture,capture,capture,1,capture,0-3,1-3,3-4,3-3
9,1,4,0,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,4,0,swap,move1,move1,-1,None,-1,-1,-1,-1
11,1,5,0,swap,capture,move1,1,capture,1-1,2-1,-1,-1
12,0,5,1,move1,capture,move1,0,move1,3-3,2-2,-1,-1
13,1,8,1,move1,move2,move1,1,move2,2-1,2-2,-1,-1
14,0,8,1,move1,capture,move1,1,capture,1-4,0-4,-1,-1
15,1,9,1,move1,capture,move2,2,move2,2-1,2-2,-1,-1
16,0,9,1,move1,capture,swap,2,swap,1-3,2-4,-1,-1
17,1,10,1,mobilize,capture,swap,0,mobilize,3-3,3-2,-1,-1
