turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,3-0,3-2,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,2-6,2-5,4-6,4-5
3,1,2,0,move1,move1,move1,2,move1,3-2,3-3,4-0,5-0
4,0,2,0,move1,move1,move1,0,move1,2-5,3-5,-1,-1
5,1,4,0,capture,move1,move1,0,capture,5-0,5-1,-1,-1
6,0,4,3,capture,move1,move1,0,capture,3-5,3-3,3-6,-1
7,1,4,3,capture,move1,mobilize,2,mobilize,5-1,4-1,-1,-1
8,0,4,3,capture,capture,mobilize,1,capture,3-6,4-6,-1,-1
9,1,4,3,capture,capture,swap,2,swap,2-0,2-1,4-1,3-1
10,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
11,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
12,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
13,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
14,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
15,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
16,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
17,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
18,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
19,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
20,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
21,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
22,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
23,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
24,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
25,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
26,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
27,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
28,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
29,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
30,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
31,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
32,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
33,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
34,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
35,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
36,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
37,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
38,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
39,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
40,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
41,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
42,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
43,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
44,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
45,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
46,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
47,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
48,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
49,1,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
50,0,4,3,capture,capture,swap,-1,None,-1,-1,-1,-1
