turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,3-0,3-2,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-6,3-5,-1,-1
3,1,3,0,move1,move1,mobilize,1,move1,3-2,3-3,4-0,4-1
4,0,3,0,move1,move1,mobilize,0,move1,3-5,3-4,-1,-1
5,1,6,0,capture,move1,mobilize,0,capture,2-0,2-1,-1,-1
6,0,6,3,capture,move1,mobilize,0,capture,3-4,3-3,-1,-1
7,1,6,3,capture,mobilize,mobilize,1,mobilize,2-0,1-0,-1,-1
8,0,6,6,capture,capture,mobilize,1,capture,2-6,3-6,3-4,3-3
9,1,6,6,capture,capture,swap,2,swap,1-0,1-1,4-1,4-0
10,0,6,6,capture,capture,move1,2,move1,3-3,2-1,-1,-1
11,1,12,6,capture,move1,move1,1,move1,1-1,2-1,-1,-1
12,0,12,6,capture,capture,move1,1,capture,3-6,3-5,-1,-1
13,1,15,6,capture,capture,move1,2,move1,1-1,2-1,-1,-1
14,0,15,6,capture,capture,move2,2,move2,3-5,3-4,-1,-1
15,1,21,6,capture,capture,move2,0,capture,3-3,3-4,-1,-1
16,0,21,6,capture,capture,move2,2,move2,3-6,3-4,-1,-1
17,1,27,6,swap,capture,move2,0,swap,3-3,3-4,-1,-1
18,0,27,9,mobilize,capture,move2,0,mobilize,3-6,3-3,-1,-1
19,1,27,9,mobilize,capture,move2,0,mobilize,2-1,3-1,4-0,4-1
20,0,27,15,mobilize,move2,move2,1,move2,2-6,3-6,-1,-1
21,1,27,15,mobilize,move1,move2,1,move1,2-0,2-2,-1,-1
22,0,27,18,mobilize,move1,move2,2,move2,2-6,3-5,-1,-1
23,1,27,18,mobilize,move1,swap,2,swap,4-1,3-2,-1,-1
24,0,27,21,mobilize,move1,move2,2,move2,3-5,3-2,-1,-1
25,1,27,21,mobilize,move1,swap,2,swap,3-5,2-6,-1,-1
26,0,27,24,mobilize,move1,swap,1,move1,4-6,4-5,-1,-1
27,1,30,24,mobilize,move1,move2,2,move2,2-2,3-3,-1,-1
28,0,30,25,mobilize,move1,move1,2,move1,2-2,1-3,-1,-1
29,1,33,25,mobilize,move1,capture,2,capture,3-1,2-1,-1,-1
30,0,33,29,mobilize,move1,swap,2,swap,3-2,3-3,-1,-1
31,1,34,29,mobilize,move1,mobilize,2,mobilize,2-1,1-3,-1,-1
32,0,34,32,swap,move1,mobilize,0,swap,3-2,3-3,4-5,3-5
33,1,37,32,mobilize,move1,mobilize,0,mobilize,1-3,3-3,-1,-1
34,0,37,33,move1,move1,mobilize,0,move1,2-1,2-2,3-5,3-4
35,1,40,33,move1,move2,mobilize,1,move2,2-6,2-5,-1,-1
36,0,40,34,move1,move1,mobilize,1,move1,3-4,2-4,-1,-1
37,1,43,34,move1,move2,mobilize,1,move2,2-0,2-1,-1,-1
38,0,43,35,move1,move2,mobilize,2,mobilize,2-2,1-2,2-4,1-4
39,1,46,35,move1,move2,mobilize,0,move1,2-1,3-1,-1,-1
40,0,46,36,move1,move2,move2,2,move2,1-2,2-2,1-4,2-4
41,1,49,36,move1,mobilize,move2,1,mobilize,2-5,3-6,-1,-1
42,0,49,37,move1,capture,move2,1,capture,2-2,1-2,2-4,1-4
43,1,52,37,move1,capture,capture,2,capture,3-1,2-1,-1,-1
44,0,52,38,move2,capture,capture,0,move2,1-2,2-2,-1,-1
45,1,58,38,move2,capture,swap,2,swap,2-1,2-2,-1,-1
46,0,58,42,move2,move1,swap,1,move1,2-6,3-6,-1,-1
47,1,62,42,move2,move1,move2,2,move2,2-1,1-3,-1,-1
48,0,62,42,capture,move1,move2,0,capture,2-6,2-5,-1,-1
49,1,69,42,capture,move1,move2,0,capture,1-3,1-4,-1,-1
50,0,69,45,move1,move1,move2,0,move1,2-1,2-0,-1,-1
