turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,swap,2,swap,2-0,2-1,3-0,4-0
2,0,0,0,move1,capture,swap,0,move1,1-4,1-3,2-4,2-3
3,1,1,0,mobilize,capture,swap,0,mobilize,2-1,2-2,-1,-1
4,0,1,3,mobilize,move2,swap,1,move2,2-3,2-2,-1,-1
5,1,1,3,mobilize,capture,swap,1,capture,4-0,4-1,-1,-1
6,0,1,4,move2,capture,swap,0,move2,2-3,2-2,3-4,3-3
7,1,1,4,capture,capture,swap,0,capture,4-1,2-1,-1,-1
8,0,1,8,move1,capture,swap,0,move1,2-2,2-1,-1,-1
9,1,1,8,move1,capture,move1,2,move1,1-0,1-3,-1,-1
10,0,1,12,move1,move2,move1,1,move2,1-0,2-0,-1,-1
11,1,1,12,move1,move2,move1,0,move1,2-0,2-1,-1,-1
12,0,1,13,move1,capture,move1,1,capture,1-0,1-2,-1,-1
13,1,1,13,move1,capture,capture,2,capture,1-3,0-3,-1,-1
14,0,1,17,move1,move2,capture,1,move2,2-2,2-1,-1,-1
15,1,1,17,move2,move2,capture,0,move2,0-3,0-2,-1,-1
16,0,1,21,move2,move2,swap,2,swap,1-2,0-2,-1,-1
17,1,1,21,swap,move2,swap,0,swap,3-0,4-1,-1,-1
18,0,1,22,swap,move1,swap,1,move1,3-3,2-3,-1,-1
19,1,1,22,swap,move1,move1,2,move1,2-0,2-3,-1,-1
20,0,1,23,swap,move1,move1,1,move1,2-0,2-1,-1,-1
21,1,1,23,swap,move2,move1,1,move2,2-3,2-4,-1,-1
22,0,1,24,swap,mobilize,move1,1,mobilize,1-2,2-3,-1,-1
23,1,1,24,swap,mobilize,move1,2,move1,2-4,3-4,-1,-1
24,0,1,25,swap,mobilize,move1,1,mobilize,2-3,1-3,2-1,1-1
25,1,1,25,swap,swap,move1,1,swap,3-4,3-3,4-1,4-2
26,0,1,26,swap,swap,move2,2,move2,1-3,1-2,-1,-1
27,1,1,26,move2,swap,move2,0,move2,3-3,1-2,-1,-1
28,0,1,27,move2,move2,move2,1,move2,3-3,1-2,-1,-1
29,1,1,27,move2,move2,move1,2,move1,3-3,3-1,-1,-1
30,0,1,28,mobilize,move2,move1,0,mobilize,1-1,0-2,-1,-1
31,1,1,28,mobilize,mobilize,move1,1,mobilize,1-0,1-1,-1,-1
32,0,1,29,mobilize,mobilize,move1,2,move1,0-2,0-1,-1,-1
33,1,1,29,move1,mobilize,move1,0,move1,3-1,3-0,4-2,3-2
34,0,1,30,move1,mobilize,move1,0,move1,0-1,0-2,-1,-1
35,1,1,30,move1,capture,move1,1,capture,1-1,1-0,3-2,4-2
36,0,1,34,move1,mobilize,move1,1,mobilize,2-2,4-2,1-2,-1
37,1,1,34,move1,mobilize,move1,1,mobilize,1-0,1-1,2-0,2-1
38,0,1,35,capture,mobilize,move1,0,capture,1-2,1-3,-1,-1
39,1,1,35,capture,move2,move1,1,move2,3-0,2-0,1-1,1-2
40,0,1,39,mobilize,move2,move1,0,mobilize,2-2,2-1,-1,-1
41,1,1,39,mobilize,swap,move1,1,swap,2-0,3-1,-1,-1
42,0,1,40,mobilize,capture,move1,1,capture,0-2,1-2,-1,-1
43,1,1,40,move2,capture,move1,0,move2,3-1,3-2,1-0,2-0
44,0,1,44,move2,capture,move1,1,capture,2-2,3-2,-1,-1
45,1,1,44,move1,capture,move1,0,move1,1-0,0-0,-1,-1
46,0,1,48,move1,swap,move1,1,swap,1-2,0-2,-1,-1
47,1,1,48,move1,move1,move1,1,move1,2-0,1-2,-1,-1
48,0,1,49,move2,move1,move1,0,move2,2-0,2-1,-1,-1
49,1,1,49,move1,move1,move1,0,move1,1-0,3-0,-1,-1
50,0,1,50,move1,move1,move1,0,move1,1-3,2-3,-1,-1
51,1,1,50,capture,move1,move1,0,capture,3-0,3-1,-1,-1
52,0,1,54,move2,move1,move1,0,move2,2-2,1-2,-1,-1
53,1,1,54,move2,move1,move1,1,move1,3-1,3-0,-1,-1
54,0,1,55,mobilize,move1,move1,0,mobilize,2-3,1-2,-1,-1
55,1,1,55,mobilize,move1,move1,2,move1,1-0,2-0,-1,-1
56,0,1,56,mobilize,capture,move1,1,capture,1-2,1-1,-1,-1
57,1,1,56,move2,capture,move1,0,move2,3-0,3-1,2-0,1-0
58,0,1,60,move2,swap,move1,1,swap,1-1,1-0,-1,-1
59,1,1,60,move2,swap,swap,2,swap,3-1,3-2,-1,-1
60,0,1,61,capture,swap,swap,0,capture,1-1,1-2,-1,-1
61,1,2,61,capture,swap,mobilize,2,mobilize,3-2,2-2,-1,-1
62,0,2,64,swap,swap,mobilize,0,swap,1-2,2-2,-1,-1
63,1,2,64,move1,swap,mobilize,0,move1,2-0,1-2,-1,-1
64,0,2,65,capture,swap,mobilize,0,capture,3-2,2-2,-1,-1
65,1,5,65,move1,swap,mobilize,0,move1,1-2,2-2,-1,-1
66,0,5,66,move1,swap,swap,2,swap,1-4,1-3,2-1,2-2
67,1,5,66,capture,swap,swap,0,capture,1-2,1-1,-1,-1
68,0,5,70,capture,swap,swap,0,capture,2-0,1-0,-1,-1
69,1,6,70,capture,swap,mobilize,2,mobilize,1-0,2-2,-1,-1
70,0,6,73,move1,swap,mobilize,0,move1,1-0,1-1,-1,-1
71,1,7,73,move1,mobilize,mobilize,1,mobilize,0-0,2-0,-1,-1
72,0,7,73,move2,mobilize,mobilize,0,move2,1-3,1-2,-1,-1
73,1,8,73,move1,mobilize,mobilize,0,move1,3-0,3-2,-1,-1
74,0,8,73,mobilize,mobilize,mobilize,0,mobilize,0-0,0-1,-1,-1
75,1,8,73,mobilize,move2,mobilize,1,move2,3-2,3-3,2-2,2-3
76,0,8,74,move2,move2,mobilize,0,move2,1-2,2-2,1-0,1-1
77,1,8,74,move2,move2,mobilize,1,move2,3-3,3-1,-1,-1
78,0,8,75,move2,move2,capture,2,capture,0-1,0-2,1-1,1-2
79,1,8,75,move1,move2,capture,0,move1,3-1,3-2,-1,-1
80,0,8,79,move1,move2,mobilize,2,mobilize,2-2,2-3,-1,-1
81,1,8,79,move1,move2,move1,2,move1,2-0,2-1,3-2,4-2
82,0,8,80,move1,move2,move1,1,move2,0-2,1-1,-1,-1
83,1,8,80,move1,move2,move1,0,move1,4-2,3-2,-1,-1
84,0,8,81,move1,swap,move1,1,swap,1-1,0-2,-1,-1
85,1,8,81,move1,move1,move1,1,move1,1-0,1-2,-1,-1
86,0,8,82,swap,move1,move1,0,swap,1-0,1-1,-1,-1
87,1,8,82,swap,mobilize,move1,1,mobilize,2-1,3-1,-1,-1
88,0,8,83,move1,mobilize,move1,0,move1,0-2,1-2,-1,-1
89,1,8,83,move1,mobilize,move1,2,move1,0-2,0-1,-1,-1
90,0,8,84,move1,mobilize,move1,0,move1,1-1,2-1,-1,-1
91,1,8,84,move1,move2,move1,1,move2,3-2,3-3,0-1,1-1
92,0,8,85,move1,swap,move1,1,swap,1-2,2-3,-1,-1
93,1,8,85,move1,mobilize,move1,1,mobilize,1-1,2-1,-1,-1
94,0,8,86,mobilize,mobilize,move1,0,mobilize,1-1,1-2,-1,-1
95,1,8,86,capture,mobilize,move1,0,capture,3-1,3-2,2-1,2-0
96,0,8,90,move2,mobilize,move1,0,move2,2-3,3-3,-1,-1
97,1,8,90,capture,mobilize,move1,0,capture,3-2,3-0,-1,-1
98,0,8,94,mobilize,mobilize,move1,0,mobilize,2-2,2-0,2-3,-1
99,1,8,94,mobilize,mobilize,capture,2,capture,3-0,4-0,-1,-1
100,0,8,98,mobilize,mobilize,move2,2,move2,2-2,2-0,2-3,-1
