turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,move1,2,move1,2-6,1-6,3-6,3-5
3,1,0,0,move1,mobilize,move1,0,move1,4-0,4-1,-1,-1
4,0,0,0,move1,mobilize,move1,0,move1,3-5,2-5,-1,-1
5,1,0,0,capture,mobilize,move1,0,capture,3-0,4-0,-1,-1
6,0,0,0,capture,mobilize,capture,2,capture,4-6,3-6,-1,-1
7,1,0,0,capture,mobilize,capture,1,mobilize,3-1,3-2,4-0,3-0
8,0,0,0,capture,capture,capture,1,capture,1-6,2-6,2-5,3-5
9,1,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,0,3,swap,capture,capture,0,swap,3-5,3-2,3-6,-1
11,1,0,3,swap,capture,capture,-1,None,-1,-1,-1,-1
12,0,0,3,move1,move1,capture,-1,None,-1,-1,-1,-1
13,1,0,3,move1,move1,capture,0,move1,4-1,3-1,-1,-1
14,0,0,3,move1,move2,capture,1,move2,3-5,4-5,-1,-1
15,1,3,3,move1,capture,capture,1,capture,3-1,3-3,-1,-1
16,0,3,3,move2,capture,capture,0,move2,2-6,1-6,-1,-1
17,1,6,3,swap,capture,capture,0,swap,3-0,3-2,-1,-1
18,0,6,6,mobilize,capture,capture,0,mobilize,4-5,3-3,-1,-1
19,1,9,6,mobilize,mobilize,capture,1,mobilize,3-2,3-3,-1,-1
20,0,9,6,move2,mobilize,capture,0,move2,1-6,1-5,2-6,2-5
21,1,12,6,move2,move1,capture,1,move1,3-2,3-3,4-5,3-5
22,0,12,9,move2,move1,move2,2,move2,2-5,3-5,-1,-1
23,1,15,9,swap,move1,move2,0,swap,2-0,3-1,-1,-1
24,0,15,12,move2,move1,move2,0,move2,3-6,3-3,-1,-1
25,1,15,12,swap,move1,move2,0,swap,3-6,3-4,-1,-1
26,0,15,15,move1,move1,move2,0,move1,1-5,3-4,-1,-1
27,1,16,15,move1,move1,move2,2,move2,1-5,1-3,-1,-1
28,0,16,18,move1,move1,move1,2,move1,3-4,2-4,-1,-1
29,1,16,18,move1,move1,move1,0,move1,1-3,1-4,-1,-1
30,0,16,21,move1,move1,swap,2,swap,2-4,3-4,-1,-1
31,1,19,21,move1,move1,move1,2,move1,3-0,3-3,-1,-1
32,0,19,21,move1,swap,move1,1,swap,2-5,2-4,-1,-1
33,1,23,21,mobilize,swap,move1,0,mobilize,1-4,1-3,-1,-1
34,0,23,22,mobilize,swap,move1,1,swap,2-4,1-3,-1,-1
35,1,26,22,mobilize,swap,capture,2,capture,3-1,3-2,-1,-1
36,0,26,26,mobilize,mobilize,capture,1,mobilize,3-4,3-3,-1,-1
37,1,29,26,mobilize,mobilize,move2,2,move2,3-2,3-3,-1,-1
38,0,29,27,capture,mobilize,move2,0,capture,2-6,2-5,3-0,3-1
39,1,32,27,capture,mobilize,move1,2,move1,3-2,3-3,-1,-1
40,0,32,28,capture,move2,move1,1,move2,2-5,2-6,3-1,2-1
41,1,35,28,capture,capture,move1,1,capture,3-4,2-5,-1,-1
42,0,35,29,capture,capture,move2,2,move2,2-6,3-6,-1,-1
43,1,38,29,capture,capture,move2,2,move2,2-5,3-4,-1,-1
44,0,38,30,capture,capture,move1,2,move1,3-6,2-6,-1,-1
45,1,41,30,capture,capture,swap,2,swap,2-4,2-5,-1,-1
46,0,41,34,capture,capture,mobilize,2,mobilize,2-1,3-3,-1,-1
47,1,44,34,mobilize,capture,mobilize,0,mobilize,2-5,2-6,-1,-1
48,0,44,41,mobilize,mobilize,mobilize,1,mobilize,2-6,2-5,-1,-1
49,1,44,41,capture,mobilize,mobilize,0,capture,2-0,1-0,3-4,2-4
50,0,44,44,capture,mobilize,move1,2,move1,2-6,1-6,1-3,1-4
