turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-6,3-5,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,4-0,4-1,-1,-1
4,0,0,0,move1,mobilize,mobilize,0,move1,3-5,3-4,-1,-1
5,1,0,0,capture,mobilize,mobilize,0,capture,3-0,4-0,-1,-1
6,0,0,3,capture,capture,mobilize,1,capture,2-6,3-6,3-4,3-3
7,1,0,3,capture,capture,mobilize,2,mobilize,4-0,3-0,4-1,4-2
8,0,0,6,capture,capture,capture,2,capture,3-6,3-5,4-6,4-5
9,1,3,6,swap,capture,capture,0,swap,3-1,3-3,3-0,-1
10,0,3,6,move1,capture,capture,0,move1,4-5,4-2,-1,-1
11,1,6,6,move1,move1,capture,1,move1,4-5,3-5,-1,-1
12,0,6,6,capture,move1,capture,0,capture,4-2,3-2,-1,-1
13,1,9,6,move1,move1,capture,0,move1,3-1,3-2,-1,-1
14,0,9,9,move1,move1,move2,2,move2,4-6,4-5,-1,-1
15,1,12,9,move1,move1,capture,2,capture,3-1,3-3,-1,-1
16,0,12,9,move2,move1,capture,0,move2,3-6,3-5,-1,-1
17,1,15,9,move2,swap,capture,1,swap,3-0,3-1,-1,-1
18,0,15,12,move2,mobilize,capture,1,mobilize,3-5,3-3,-1,-1
19,1,15,12,mobilize,mobilize,capture,0,mobilize,2-0,3-0,-1,-1
20,0,15,15,move2,mobilize,capture,0,move2,2-6,2-5,4-6,4-5
21,1,18,15,move2,mobilize,move1,2,move1,3-5,2-5,-1,-1
22,0,18,18,move2,mobilize,move1,0,move2,4-5,3-4,-1,-1
23,1,18,18,move2,mobilize,swap,2,swap,3-5,2-5,-1,-1
24,0,18,21,move2,mobilize,swap,0,move2,2-6,3-5,-1,-1
25,1,21,21,move2,mobilize,swap,2,swap,2-5,3-3,-1,-1
26,0,21,24,move2,mobilize,move1,2,move1,2-5,3-3,-1,-1
27,1,21,24,move2,mobilize,swap,2,swap,2-5,2-4,-1,-1
28,0,21,27,move1,mobilize,swap,0,move1,3-5,4-4,-1,-1
29,1,24,27,move1,mobilize,mobilize,2,mobilize,3-0,3-3,-1,-1
30,0,24,27,move2,mobilize,mobilize,0,move2,3-0,2-0,-1,-1
31,1,28,27,move1,mobilize,mobilize,0,move1,2-4,1-3,-1,-1
32,0,28,27,swap,mobilize,mobilize,0,swap,2-0,2-1,-1,-1
33,1,32,27,mobilize,mobilize,mobilize,0,mobilize,3-1,3-4,-1,-1
34,0,32,27,swap,mobilize,mobilize,0,swap,2-1,2-0,4-4,5-4
35,1,36,27,move2,mobilize,mobilize,0,move2,3-4,3-1,-1,-1
36,0,36,28,move2,move1,mobilize,1,move1,2-0,2-1,5-4,5-3
37,1,40,28,move1,move1,mobilize,0,move1,3-1,3-2,-1,-1
38,0,40,29,move1,move1,move2,2,move2,2-1,2-2,3-4,2-4
39,1,44,29,capture,move1,move2,0,capture,3-2,4-2,-1,-1
40,0,44,30,capture,move2,move2,1,move2,2-4,3-4,-1,-1
41,1,51,30,capture,move2,move2,0,capture,3-3,3-4,-1,-1
42,0,51,31,capture,move1,move2,1,move1,2-6,2-4,-1,-1
43,1,55,31,capture,move2,move2,1,move2,4-2,3-2,-1,-1
44,0,55,35,move1,move2,move2,0,move1,2-2,3-2,-1,-1
45,1,59,35,move1,swap,move2,1,swap,2-0,3-1,-1,-1
46,0,59,39,move1,mobilize,move2,1,mobilize,2-4,3-3,-1,-1
47,1,60,39,move1,capture,move2,1,capture,3-1,4-1,2-4,1-4
48,0,60,43,mobilize,capture,move2,0,mobilize,2-2,3-2,-1,-1
49,1,61,43,mobilize,capture,capture,2,capture,4-1,5-1,-1,-1
50,0,61,46,capture,capture,capture,0,capture,3-2,4-2,5-3,5-2
