turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,3-0,3-2,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,4-6,5-6,-1,-1
3,1,3,0,move1,move1,mobilize,1,move1,3-2,3-3,4-0,3-0
4,0,3,0,move1,move1,move1,2,move1,2-6,2-5,5-6,5-5
5,1,6,0,move1,capture,move1,1,capture,2-0,2-1,-1,-1
6,0,6,0,capture,capture,move1,0,capture,2-5,1-5,-1,-1
7,1,9,0,capture,capture,mobilize,2,mobilize,2-1,2-2,-1,-1
8,0,9,0,capture,capture,capture,2,capture,1-5,1-6,5-5,5-4
9,1,9,0,capture,capture,capture,-1,None,-1,-1,-1,-1
10,0,9,0,swap,move1,move1,-1,None,-1,-1,-1,-1
11,1,12,0,swap,move1,capture,2,capture,2-2,1-2,-1,-1
12,0,12,3,move1,move1,capture,0,move1,5-4,3-3,-1,-1
13,1,13,3,move1,move2,capture,1,move2,5-4,5-3,-1,-1
14,0,13,6,move1,capture,capture,1,capture,3-6,2-6,-1,-1
15,1,14,6,move2,capture,capture,0,move2,1-2,0-2,-1,-1
16,0,14,6,swap,capture,capture,0,swap,3-3,2-2,-1,-1
17,1,15,6,mobilize,capture,capture,0,mobilize,0-2,2-2,-1,-1
18,0,15,6,mobilize,capture,capture,0,mobilize,1-6,0-6,0-2,1-2
19,1,19,6,mobilize,move2,capture,1,move2,2-2,1-2,-1,-1
20,0,19,6,mobilize,move1,capture,1,move1,3-6,3-5,-1,-1
21,1,20,6,move2,move1,capture,0,move2,2-2,1-2,3-0,2-0
22,0,20,6,swap,move1,capture,0,swap,3-5,2-5,-1,-1
23,1,21,6,swap,move2,capture,1,move2,2-0,3-0,-1,-1
24,0,21,6,swap,swap,capture,1,swap,2-6,1-5,-1,-1
25,1,22,6,swap,move1,capture,1,move1,1-2,1-5,-1,-1
26,0,22,6,move2,move1,capture,0,move2,1-2,1-5,-1,-1
27,1,23,6,mobilize,move1,capture,0,mobilize,3-0,3-1,-1,-1
28,0,23,6,move1,move1,capture,0,move1,1-5,1-6,2-5,3-5
29,1,24,6,move1,move1,capture,1,move1,3-1,3-2,-1,-1
30,0,24,6,mobilize,move1,capture,0,mobilize,0-6,0-5,-1,-1
31,1,28,6,capture,move1,capture,0,capture,1-2,0-2,3-2,3-3
32,0,28,6,capture,mobilize,capture,1,mobilize,3-5,3-4,-1,-1
33,1,35,6,capture,mobilize,swap,2,swap,3-3,3-4,-1,-1
34,0,35,6,capture,mobilize,swap,1,mobilize,0-5,0-6,2-6,2-5
35,1,38,6,capture,move1,swap,1,move1,0-2,1-2,5-3,5-4
36,0,38,6,capture,move2,swap,1,move2,0-6,0-5,-1,-1
37,1,41,6,capture,mobilize,swap,1,mobilize,5-4,4-4,-1,-1
38,0,41,6,capture,swap,swap,1,swap,1-6,0-6,2-5,2-6
39,1,41,6,capture,swap,swap,-1,None,-1,-1,-1,-1
40,0,41,6,move2,capture,move2,-1,None,-1,-1,-1,-1
41,1,44,6,move2,capture,move2,2,move2,4-4,3-4,-1,-1
42,0,44,6,move2,capture,move1,2,move1,0-5,0-4,-1,-1
43,1,48,6,swap,capture,move1,0,swap,1-2,1-3,-1,-1
44,0,48,6,swap,capture,move1,2,move1,0-4,1-4,-1,-1
45,1,51,6,move2,capture,move1,0,move2,1-3,1-4,-1,-1
46,0,51,7,capture,capture,move1,0,capture,0-6,1-5,-1,-1
47,1,57,7,capture,capture,move1,1,capture,1-4,1-3,-1,-1
48,0,57,10,capture,move1,move1,1,move1,1-5,1-4,-1,-1
49,1,63,10,move1,move1,move1,0,move1,3-4,3-6,3-3,-1
50,0,63,10,move1,capture,move1,1,capture,1-5,1-4,-1,-1
