turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,4-6,4-5
3,1,0,0,swap,capture,mobilize,0,swap,3-1,3-2,-1,-1
4,0,0,0,swap,capture,move1,2,move1,2-5,2-6,4-5,3-5
5,1,3,0,swap,capture,move1,2,move1,3-2,3-3,-1,-1
6,0,3,3,mobilize,capture,move1,0,mobilize,3-5,3-3,-1,-1
7,1,6,3,mobilize,mobilize,move1,1,mobilize,3-5,3-6,-1,-1
8,0,6,6,mobilize,mobilize,capture,2,capture,2-6,2-5,-1,-1
9,1,9,6,mobilize,mobilize,capture,2,capture,3-5,2-5,-1,-1
10,0,9,12,mobilize,mobilize,move2,2,move2,3-6,3-5,-1,-1
11,1,9,12,mobilize,mobilize,mobilize,2,mobilize,3-0,3-2,-1,-1
12,0,9,15,move2,mobilize,mobilize,0,move2,2-6,2-5,3-6,3-5
13,1,9,15,move2,mobilize,mobilize,0,move2,2-0,2-1,-1,-1
14,0,9,18,capture,mobilize,mobilize,0,capture,2-5,3-4,-1,-1
15,1,12,18,swap,mobilize,mobilize,0,swap,3-2,3-3,-1,-1
16,0,12,21,swap,move1,mobilize,1,move1,3-4,3-3,2-6,3-6
17,1,15,21,move2,move1,mobilize,0,move2,2-1,3-3,-1,-1
18,0,15,21,move2,move1,mobilize,0,move2,2-1,1-2,-1,-1
19,1,18,21,capture,move1,mobilize,0,capture,4-0,3-1,-1,-1
20,0,18,24,move1,move1,mobilize,0,move1,3-5,3-3,3-6,-1
21,1,21,24,move1,move1,move2,2,move2,2-0,2-1,3-2,3-3
22,0,21,25,swap,move1,move2,0,swap,1-2,1-3,-1,-1
23,1,24,25,swap,move1,move1,2,move1,2-1,3-2,-1,-1
24,0,24,29,move1,move1,move1,0,move1,3-6,3-3,-1,-1
25,1,24,29,swap,move1,move1,0,swap,3-6,2-6,-1,-1
26,0,24,33,move2,move1,move1,0,move2,3-5,3-2,-1,-1
27,1,24,33,mobilize,move1,move1,0,mobilize,3-5,3-4,-1,-1
28,0,24,37,mobilize,capture,move1,1,capture,3-2,2-2,-1,-1
29,1,27,37,mobilize,mobilize,move1,1,mobilize,3-4,3-3,-1,-1
30,0,27,38,move1,mobilize,move1,0,move1,2-2,1-2,3-6,3-5
31,1,30,38,move1,capture,move1,1,capture,3-4,3-3,3-1,3-2
32,0,30,39,mobilize,capture,move1,0,mobilize,3-5,4-5,-1,-1
33,1,33,39,mobilize,capture,move1,2,move1,2-6,2-5,-1,-1
34,0,33,40,mobilize,capture,swap,2,swap,4-5,4-4,-1,-1
35,1,36,40,capture,capture,swap,0,capture,2-5,2-4,3-2,2-2
36,0,36,44,mobilize,capture,swap,0,mobilize,1-2,2-2,-1,-1
37,1,39,44,mobilize,capture,capture,2,capture,2-0,1-2,-1,-1
38,0,39,48,mobilize,swap,capture,1,swap,1-3,1-2,-1,-1
39,1,45,48,mobilize,swap,move1,2,move1,3-0,2-0,-1,-1
40,0,45,52,mobilize,mobilize,move1,1,mobilize,4-4,3-3,-1,-1
41,1,45,52,capture,mobilize,move1,0,capture,4-4,4-5,2-4,1-4
42,0,45,59,move1,mobilize,move1,0,move1,1-3,1-4,-1,-1
43,1,45,59,move2,mobilize,move1,0,move2,4-5,4-4,-1,-1
44,0,45,63,move1,mobilize,move1,0,move1,2-6,2-4,-1,-1
45,1,45,63,move1,mobilize,move1,0,move1,4-4,3-4,-1,-1
46,0,45,67,move2,mobilize,move1,0,move2,2-4,1-4,-1,-1
47,1,45,67,swap,mobilize,move1,0,swap,3-4,5-4,-1,-1
48,0,45,71,swap,mobilize,swap,2,swap,1-4,2-4,-1,-1
49,1,48,71,move2,mobilize,swap,0,move2,5-4,3-3,-1,-1
50,0,48,75,move2,mobilize,move2,2,move2,5-4,3-3,-1,-1
