turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-3,3-4,3-3
3,1,0,0,move1,capture,swap,2,swap,1-0,1-1,2-0,3-0
4,0,0,0,move1,capture,swap,0,move1,3-3,2-3,-1,-1
5,1,0,0,move1,capture,swap,0,move1,1-1,1-2,-1,-1
6,0,0,3,move1,mobilize,swap,1,mobilize,1-3,1-2,-1,-1
7,1,0,3,move1,mobilize,swap,1,mobilize,3-0,2-0,3-1,2-1
8,0,0,3,move1,mobilize,capture,2,capture,1-3,2-1,-1,-1
9,1,0,3,move1,capture,capture,1,capture,1-0,0-0,1-3,1-4
10,0,0,6,move1,move2,capture,1,move2,2-1,2-0,-1,-1
11,1,0,6,move1,mobilize,capture,1,mobilize,1-4,1-2,-1,-1
12,0,0,7,move2,mobilize,capture,0,move2,2-1,2-2,-1,-1
13,1,0,7,move2,mobilize,capture,0,move2,1-0,2-0,-1,-1
14,0,0,11,move2,mobilize,capture,2,capture,2-2,1-2,-1,-1
15,1,0,11,swap,mobilize,capture,0,swap,0-0,1-1,-1,-1
16,0,0,15,swap,mobilize,move1,2,move1,2-2,2-0,2-3,-1
17,1,1,15,move2,mobilize,move1,0,move2,2-0,2-2,-1,-1
18,0,1,15,move2,mobilize,move2,2,move2,2-0,2-1,-1,-1
19,1,2,15,capture,mobilize,move2,0,capture,1-1,0-1,-1,-1
20,0,2,18,move1,mobilize,move2,0,move1,2-1,2-2,-1,-1
21,1,2,18,move1,move2,move2,1,move2,0-1,1-1,1-0,0-0
22,0,2,19,swap,move2,move2,0,swap,2-1,2-2,-1,-1
23,1,2,19,swap,move1,move2,1,move1,0-0,0-2,-1,-1
24,0,2,19,move1,move1,move2,0,move1,2-2,1-1,-1,-1
25,1,3,19,swap,move1,move2,0,swap,2-0,2-1,-1,-1
26,0,3,19,swap,move1,move2,2,move2,1-1,1-3,-1,-1
27,1,4,19,swap,mobilize,move2,1,mobilize,0-2,0-3,-1,-1
28,0,4,20,capture,mobilize,move2,0,capture,2-4,2-2,-1,-1
29,1,4,20,capture,mobilize,mobilize,2,mobilize,0-3,0-2,-1,-1
30,0,4,24,move1,mobilize,mobilize,0,move1,2-2,2-1,-1,-1
31,1,4,24,move1,mobilize,mobilize,2,mobilize,2-4,3-4,1-0,2-0
32,0,4,25,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
33,1,4,25,move1,move1,mobilize,1,move1,2-0,2-1,0-2,0-1
34,0,4,26,move2,move1,mobilize,0,move2,1-2,1-3,-1,-1
35,1,4,26,move2,move1,mobilize,0,move2,0-1,1-0,-1,-1
36,0,4,27,move1,move1,mobilize,0,move1,1-3,2-4,-1,-1
37,1,4,27,move1,mobilize,mobilize,1,mobilize,2-1,1-1,-1,-1
38,0,4,28,swap,mobilize,mobilize,0,swap,2-3,3-3,-1,-1
39,1,4,28,swap,mobilize,mobilize,2,mobilize,1-1,2-1,1-0,2-0
40,0,4,29,capture,mobilize,mobilize,0,capture,2-4,2-1,-1,-1
41,1,4,29,capture,capture,mobilize,1,capture,3-4,4-4,2-4,1-4
42,0,4,33,move1,capture,mobilize,0,move1,2-1,2-0,-1,-1
43,1,4,33,move1,capture,move2,2,move2,4-4,4-3,1-4,1-3
44,0,4,37,move1,swap,move2,1,swap,3-3,4-3,-1,-1
45,1,4,37,move1,swap,move2,0,move1,1-0,0-0,-1,-1
46,0,4,38,move1,swap,move2,0,move1,3-3,2-3,-1,-1
47,1,4,38,move1,swap,capture,2,capture,0-0,1-1,-1,-1
48,0,4,42,move1,swap,swap,2,swap,2-1,1-1,-1,-1
