turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,mobilize,mobilize,0,move1,3-5,3-4,-1,-1
3,1,8,0,move1,move1,mobilize,1,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,mobilize,0,move1,5-4,5-3,-1,-1
5,1,12,0,move1,move1,capture,2,capture,2-2,2-3,4-2,3-2
6,0,12,3,move1,move1,capture,2,capture,3-4,3-3,-1,-1
7,1,16,3,mobilize,move1,capture,0,mobilize,2-3,3-3,-1,-1
8,0,16,6,mobilize,move1,capture,2,capture,3-4,3-3,-1,-1
9,1,20,6,swap,move1,capture,0,swap,1-2,2-2,3-2,3-3
