turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,mobilize,mobilize,0,move1,3-5,3-4,-1,-1
3,1,8,0,move1,move1,mobilize,1,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,mobilize,0,move1,5-4,5-3,-1,-1
5,1,12,0,move1,move1,capture,2,capture,2-2,3-2,4-2,4-3
6,0,12,3,move1,move1,capture,2,capture,5-3,4-3,-1,-1
7,1,19,3,move1,move1,mobilize,2,mobilize,3-3,3-4,-1,-1
8,0,19,3,capture,move1,mobilize,0,capture,3-5,3-4,-1,-1
9,1,26,3,swap,move1,mobilize,0,swap,3-3,3-4,-1,-1
10,0,26,7,move1,move1,mobilize,0,move1,1-4,3-3,-1,-1
11,1,26,7,move1,move1,mobilize,0,move1,1-4,2-4,-1,-1
12,0,26,11,move1,move1,capture,2,capture,3-5,3-4,5-3,4-3
13,1,29,11,move1,move1,move1,2,move1,3-2,3-3,-1,-1
14,0,29,15,move2,move1,move1,0,move2,4-3,3-3,-1,-1
15,1,29,15,move2,capture,move1,1,capture,2-4,2-3,-1,-1
16,0,29,22,move2,move2,move1,1,move2,3-3,3-2,-1,-1
17,1,29,22,swap,move2,move1,0,swap,3-1,2-2,-1,-1
18,0,29,26,mobilize,move2,move1,0,mobilize,3-5,2-3,-1,-1
19,1,29,26,mobilize,mobilize,move1,1,mobilize,3-5,2-4,-1,-1
20,0,29,30,mobilize,mobilize,move2,2,move2,2-3,1-3,-1,-1
21,1,29,30,mobilize,mobilize,move1,2,move1,2-4,2-3,-1,-1
22,0,29,34,mobilize,mobilize,move2,2,move2,1-3,1-4,-1,-1
23,1,29,34,mobilize,mobilize,swap,2,swap,1-2,1-3,-1,-1
24,0,29,38,mobilize,mobilize,move2,2,move2,1-4,2-3,-1,-1
25,1,29,38,mobilize,mobilize,swap,2,swap,1-3,1-2,-1,-1
26,0,29,42,mobilize,mobilize,swap,0,mobilize,3-4,3-5,2-3,2-4
27,1,33,42,mobilize,mobilize,move2,2,move2,1-4,3-3,-1,-1
28,0,33,42,move1,mobilize,move2,0,move1,3-5,3-4,1-4,1-3
29,1,37,42,capture,mobilize,move2,0,capture,2-2,3-2,-1,-1
30,0,37,45,swap,mobilize,move2,0,swap,1-3,1-2,-1,-1
31,1,41,45,mobilize,mobilize,move2,0,mobilize,3-1,3-4,-1,-1
32,0,41,45,swap,mobilize,move2,0,swap,3-1,3-0,1-3,2-3
33,1,45,45,move1,mobilize,move2,0,move1,3-2,2-3,-1,-1
34,0,45,45,mobilize,mobilize,move2,0,mobilize,3-0,3-1,-1,-1
35,1,49,45,mobilize,mobilize,move1,2,move1,2-3,2-2,-1,-1
36,0,49,45,move1,mobilize,move1,0,move1,3-1,3-0,2-4,2-3
37,1,53,45,move2,mobilize,move1,0,move2,3-4,2-4,-1,-1
38,0,53,45,move2,mobilize,move1,0,move2,3-0,3-1,-1,-1
39,1,57,45,move2,mobilize,capture,2,capture,2-4,3-4,-1,-1
40,0,57,48,move2,mobilize,move2,2,move2,3-2,2-2,-1,-1
41,1,61,48,capture,mobilize,move2,0,capture,1-2,2-2,-1,-1
42,0,61,51,move2,mobilize,move2,0,move2,3-2,2-2,-1,-1
43,1,65,51,move1,mobilize,move2,0,move1,1-2,2-2,-1,-1
44,0,65,51,capture,mobilize,move2,0,capture,3-1,3-0,-1,-1
45,1,72,51,swap,mobilize,move2,0,swap,3-3,3-2,-1,-1
46,0,72,55,capture,mobilize,move2,0,capture,3-0,3-3,-1,-1
47,1,75,55,move2,mobilize,move2,0,move2,2-2,2-3,-1,-1
48,0,75,59,move1,mobilize,move2,0,move1,5-4,4-4,-1,-1
49,1,75,59,move1,mobilize,move1,2,move1,3-0,3-2,-1,-1
50,0,75,63,move1,mobilize,move1,0,move1,4-4,4-3,-1,-1
