turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,3-4,4-4,-1,-1
3,1,1,0,move1,move1,mobilize,1,move1,2-1,2-2,3-0,3-1
4,0,1,0,move1,move1,move1,2,move1,1-4,0-4,4-4,4-3
5,1,2,0,capture,move1,move1,0,capture,3-1,2-1,-1,-1
6,0,2,0,capture,capture,move1,1,capture,2-4,2-3,-1,-1
7,1,6,0,mobilize,capture,move1,0,mobilize,2-2,2-3,-1,-1
8,0,6,0,capture,capture,move1,0,capture,1-4,2-4,4-3,4-2
9,1,10,0,swap,capture,move1,0,swap,2-2,2-4,2-1,-1
10,0,10,1,move1,capture,move1,0,move1,4-2,2-2,-1,-1
11,1,13,1,move1,move1,move1,1,move1,2-1,2-2,-1,-1
12,0,13,1,move1,capture,move1,1,capture,2-4,3-4,-1,-1
13,1,14,1,move1,capture,move1,0,move1,2-1,2-2,-1,-1
14,0,14,1,move1,capture,move2,2,move2,1-4,1-3,-1,-1
15,1,15,1,capture,capture,move2,0,capture,4-2,3-2,-1,-1
16,0,15,1,capture,capture,move2,2,move2,3-4,2-3,-1,-1
17,1,19,1,swap,capture,move2,0,swap,2-2,2-3,-1,-1
18,0,19,1,swap,capture,mobilize,2,mobilize,1-3,2-4,-1,-1
19,1,20,1,swap,capture,mobilize,2,mobilize,3-2,3-1,2-0,2-1
20,0,20,1,swap,capture,move2,2,move2,2-4,2-3,1-4,1-3
21,1,24,1,swap,move1,move2,1,move1,2-2,2-3,-1,-1
22,0,24,1,swap,move2,move2,1,move2,1-3,0-3,-1,-1
23,1,24,1,swap,move2,move2,0,swap,2-2,1-4,-1,-1
24,0,24,1,swap,move2,move2,1,move2,2-2,1-2,-1,-1
25,1,25,1,swap,swap,move2,1,swap,3-1,2-2,-1,-1
26,0,25,1,swap,swap,move1,2,move1,1-2,1-0,-1,-1
27,1,25,1,move2,swap,move1,0,move2,2-2,0-3,-1,-1
28,0,25,2,mobilize,swap,move1,0,mobilize,1-0,1-1,-1,-1
29,1,25,2,move1,swap,move1,0,move1,0-3,1-3,2-1,3-1
30,0,25,3,move1,move2,move1,1,move2,1-1,3-1,-1,-1
31,1,25,3,move1,mobilize,move1,1,mobilize,1-1,1-2,-1,-1
32,0,25,4,move1,mobilize,swap,2,swap,3-1,3-2,-1,-1
33,1,26,4,move1,mobilize,mobilize,2,mobilize,1-4,2-2,-1,-1
34,0,26,4,move2,mobilize,mobilize,0,move2,0-4,0-3,-1,-1
35,1,26,4,move1,mobilize,mobilize,0,move1,2-2,1-1,-1,-1
36,0,26,4,move1,mobilize,move1,2,move1,3-2,4-2,1-4,0-4
37,1,27,4,swap,mobilize,move1,0,swap,1-2,2-2,-1,-1
38,0,27,4,swap,mobilize,mobilize,2,mobilize,4-2,4-3,-1,-1
39,1,27,4,move1,mobilize,mobilize,0,move1,2-2,0-3,-1,-1
40,0,27,4,move1,move2,mobilize,1,move2,2-2,3-2,4-3,4-2
41,1,27,4,move1,move2,capture,2,capture,1-3,1-2,0-3,0-2
42,0,27,4,move1,capture,capture,1,capture,0-4,1-4,-1,-1
43,1,30,4,move1,move1,capture,1,move1,1-2,3-2,0-2,-1
44,0,30,4,move1,move2,capture,1,move2,1-4,1-3,-1,-1
45,1,33,4,move1,move2,move2,2,move2,1-2,1-3,-1,-1
46,0,33,4,move1,capture,move2,1,capture,4-2,4-3,-1,-1
47,1,36,4,move1,capture,move2,1,capture,1-2,1-4,1-1,-1
48,0,36,4,move1,capture,mobilize,2,mobilize,4-3,3-4,-1,-1
49,1,39,4,move1,capture,mobilize,1,capture,1-2,1-4,1-1,-1
50,0,39,4,move1,capture,mobilize,0,move1,3-4,3-3,-1,-1
